URL;Label;Class;Importation;Wiki;Dbpedia;Web;Définition;Synonyme;Voir;JLMonfort
http://isi.cbs.nl/glossary/term1971.htm;aperçu longitudinal;AperçuLongitudinal;Non;;;;;;;
http://isi.cbs.nl/glossary/term1810.htm;aplatissement;Aplatissement;Non;;;;;;;
http://isi.cbs.nl/glossary/term5.htm;aplatissement;Aplatissement;Non;;;;;;;
http://isi.cbs.nl/glossary/term2892.htm;échantillon;Echantillon;Concept;https://fr.wikipedia.org/wiki/%C3%89chantillon#Statistiques;;;;;;http://jeanalain.monfort.free.fr/Dicostat2005/E/Echantillon.pdf
http://isi.cbs.nl/glossary/term1152.htm;approximation à la Esseen;ApproximationALaEsseen;Non;;;;;;;
http://isi.cbs.nl/glossary/term404.htm;approximation de Blum;ApproximationDeBlum;Non;;;;;;;
http://isi.cbs.nl/glossary/term419.htm;approximation de Borges;ApproximationDeBorges;Non;;;;;;;
http://isi.cbs.nl/glossary/term455.htm;approximation de Burkholder;ApproximationDeBurkholder;Non;;;;;;;
http://isi.cbs.nl/glossary/term465.htm;approximation de Camp-Paulson;ApproximationDeCampPaulson;Non;;;;;;;
http://isi.cbs.nl/glossary/term1478.htm;approximation de Harley;ApproximationDeHarley;Non;;;;;;;
http://isi.cbs.nl/glossary/term1490.htm;approximation de Hastings;ApproximationDeHastings;Non;;;;;;;
http://isi.cbs.nl/glossary/term1828.htm;approximation de Laplace;ApproximationDeLaplace;Non;;;;;;;
http://isi.cbs.nl/glossary/term2071.htm;approximation de Merrington-Pearson;ApproximationDeMerringtonPearson;Non;;;;;;;
http://isi.cbs.nl/glossary/term2498.htm;approximation de Poisson;ApproximationDePoisson;Non;;;;;;;
http://isi.cbs.nl/glossary/term139.htm;approximation des degrés de liberté;ApproximationDesDegresDeLiberte;Non;;;;;;;
http://isi.cbs.nl/glossary/term23.htm;approximation stochastique accélérée;ApproximationStochastiqueAcceleree;Non;;;;;;;
http://isi.cbs.nl/glossary/term2105.htm;arbre de longueur minimale;ArbreDeLongueurMinimale;Non;;;;;;;
http://isi.cbs.nl/glossary/term3337.htm;arbre de régression;ArbreDeRegression;Non;;;;;;;
